id,amount,category,created_at,currency,description,expense_date,status,title
295,42,TOOLS,2026-01-09 09:34:00,USD,Analytics Tool,2026-01-09 09:34:00,PAID,Analytics Tool
276,101,CONTENT,2026-01-09 10:05:00,USD,Stock Assets,2026-01-09 10:05:00,PAID,Stock Assets
124,71,CONTENT,2026-01-09 11:12:00,USD,Stock Assets,2026-01-09 11:12:00,PAID,Stock Assets
341,94,CONTENT,2026-01-10 08:20:00,USD,Video Production,2026-01-10 08:20:00,PAID,Video Production
429,344,SALARY,2026-01-10 17:55:00,USD,QA Salary,2026-01-10 17:55:00,PAID,QA Salary
354,47,SUPPORT,2026-01-11 09:19:00,USD,Help Desk Software,2026-01-11 09:19:00,PAID,Help Desk Software
150,34,TOOLS,2026-01-11 10:02:00,USD,LMS Plugin,2026-01-11 10:02:00,PAID,LMS Plugin
154,103,MARKETING,2026-01-12 11:42:00,USD,Influencer Campaign,2026-01-12 11:42:00,PAID,Influencer Campaign
425,346,SALARY,2026-01-12 11:58:00,USD,Developer Salary,2026-01-12 11:58:00,PAID,Developer Salary
268,99,CONTENT,2026-01-13 12:29:00,USD,Video Production,2026-01-13 12:29:00,PAID,Video Production
103,52,TOOLS,2026-01-13 15:17:00,USD,Video Hosting,2026-01-13 15:17:00,PAID,Video Hosting
130,60,SUPPORT,2026-01-13 17:38:00,USD,Customer Support Tool,2026-01-13 17:38:00,PAID,Customer Support Tool
287,57,SUPPORT,2026-01-14 11:33:00,USD,Customer Support Tool,2026-01-14 11:33:00,PAID,Customer Support Tool
17,83,SUPPORT,2026-01-15 08:03:00,USD,Customer Support Tool,2026-01-15 08:03:00,PAID,Customer Support Tool
440,63,INFRASTRUCTURE,2026-01-15 15:30:00,USD,AWS Services,2026-01-15 15:30:00,PAID,AWS Services
115,32,TOOLS,2026-01-15 17:28:00,USD,Video Hosting,2026-01-15 17:28:00,PAID,Video Hosting
15,165,CONTENT,2026-01-16 09:52:00,USD,Course Materials,2026-01-16 09:52:00,PAID,Course Materials
11,135,INFRASTRUCTURE,2026-01-16 14:19:00,USD,CDN Costs,2026-01-16 14:19:00,PAID,CDN Costs
9,204,MARKETING,2026-01-16 14:50:00,USD,Email Marketing,2026-01-16 14:50:00,PAID,Email Marketing
73,584,SALARY,2026-01-16 17:37:00,USD,Developer Salary,2026-01-16 17:37:00,PAID,Developer Salary
391,58,SUPPORT,2026-01-17 14:46:00,USD,Customer Support Tool,2026-01-17 14:46:00,PAID,Customer Support Tool
114,107,MARKETING,2026-01-17 16:41:00,USD,Google Ads,2026-01-17 16:41:00,PAID,Google Ads
13,77,TOOLS,2026-01-17 17:14:00,USD,SaaS Subscription,2026-01-17 17:14:00,PENDING,SaaS Subscription
285,92,INFRASTRUCTURE,2026-01-18 11:26:00,USD,Database Hosting,2026-01-18 11:26:00,PAID,Database Hosting
488,47,SUPPORT,2026-01-18 13:54:00,USD,Customer Support Tool,2026-01-18 13:54:00,PAID,Customer Support Tool
245,105,MARKETING,2026-01-18 15:20:00,USD,SEO Tools,2026-01-18 15:20:00,PAID,SEO Tools
188,97,INFRASTRUCTURE,2026-01-18 16:57:00,USD,Database Hosting,2026-01-18 16:57:00,PAID,Database Hosting
205,98,MARKETING,2026-01-19 08:10:00,USD,Google Ads,2026-01-19 08:10:00,PAID,Google Ads
317,49,SUPPORT,2026-01-19 14:42:00,USD,Customer Support Tool,2026-01-19 14:42:00,PAID,Customer Support Tool
407,48,SUPPORT,2026-01-19 16:05:00,USD,Customer Support Tool,2026-01-19 16:05:00,PAID,Customer Support Tool
396,75,INFRASTRUCTURE,2026-01-20 08:29:00,USD,Database Hosting,2026-01-20 08:29:00,PAID,Database Hosting
229,596,SALARY,2026-01-20 14:59:00,USD,Content Creator Salary,2026-01-20 14:59:00,PAID,Content Creator Salary
433,76,CONTENT,2026-01-20 16:06:00,USD,Course Materials,2026-01-20 16:06:00,PAID,Course Materials
451,550,SALARY,2026-01-20 17:49:00,USD,Content Creator Salary,2026-01-20 17:49:00,PAID,Content Creator Salary
484,60,INFRASTRUCTURE,2026-01-21 09:03:00,USD,Database Hosting,2026-01-21 09:03:00,PAID,Database Hosting
196,96,INFRASTRUCTURE,2026-01-21 09:45:00,USD,CDN Costs,2026-01-21 09:45:00,PAID,CDN Costs
414,135,MARKETING,2026-01-21 12:16:00,USD,Influencer Campaign,2026-01-21 12:16:00,PAID,Influencer Campaign
112,113,MARKETING,2026-01-21 16:54:00,USD,Email Marketing,2026-01-21 16:54:00,PAID,Email Marketing
139,530,SALARY,2026-01-22 11:17:00,USD,Designer Salary,2026-01-22 11:17:00,PAID,Designer Salary
349,39,TOOLS,2026-01-22 14:23:00,USD,LMS Plugin,2026-01-22 14:23:00,PAID,LMS Plugin
254,87,MARKETING,2026-01-22 14:37:00,USD,Influencer Campaign,2026-01-22 14:37:00,PAID,Influencer Campaign
157,88,INFRASTRUCTURE,2026-01-22 14:58:00,USD,Cloud Hosting,2026-01-22 14:58:00,PAID,Cloud Hosting
156,93,INFRASTRUCTURE,2026-01-22 15:15:00,USD,AWS Services,2026-01-22 15:15:00,PAID,AWS Services
401,83,CONTENT,2026-01-22 17:19:00,USD,Freelance Writer,2026-01-22 17:19:00,PAID,Freelance Writer
458,112,CONTENT,2026-01-23 13:07:00,USD,Freelance Writer,2026-01-23 13:07:00,PAID,Freelance Writer
235,37,SUPPORT,2026-01-24 09:58:00,USD,CRM License,2026-01-24 09:58:00,PAID,CRM License
353,579,SALARY,2026-01-24 11:39:00,USD,Content Creator Salary,2026-01-24 11:39:00,PAID,Content Creator Salary
322,584,SALARY,2026-01-24 12:04:00,USD,Developer Salary,2026-01-24 12:04:00,PAID,Developer Salary
331,325,SALARY,2026-01-24 12:38:00,USD,Designer Salary,2026-01-24 12:38:00,PAID,Designer Salary
323,93,MARKETING,2026-01-24 16:24:00,USD,SEO Tools,2026-01-24 16:24:00,PAID,SEO Tools
492,347,SALARY,2026-01-27 08:26:00,USD,Developer Salary,2026-01-27 08:26:00,PAID,Developer Salary
97,117,CONTENT,2026-01-27 15:09:00,USD,Freelance Writer,2026-01-27 15:09:00,PAID,Freelance Writer
27,89,SUPPORT,2026-02-01 11:10:00,USD,Help Desk Software,2026-02-01 11:10:00,PAID,Help Desk Software
293,42,TOOLS,2026-02-01 11:21:00,USD,Video Hosting,2026-02-01 11:21:00,PAID,Video Hosting
21,141,INFRASTRUCTURE,2026-02-01 13:10:00,USD,AWS Services,2026-02-01 13:10:00,PAID,AWS Services
19,217,MARKETING,2026-02-01 15:50:00,USD,Google Ads,2026-02-01 15:50:00,PAID,Google Ads
291,121,CONTENT,2026-02-02 08:11:00,USD,Course Materials,2026-02-02 08:11:00,PAID,Course Materials
18,869,SALARY,2026-02-02 14:31:00,USD,Content Creator Salary,2026-02-02 14:31:00,PAID,Content Creator Salary
204,93,MARKETING,2026-02-02 17:37:00,USD,SEO Tools,2026-02-02 17:37:00,PAID,SEO Tools
25,152,CONTENT,2026-02-03 11:06:00,USD,Stock Assets,2026-02-03 11:06:00,PAID,Stock Assets
83,458,SALARY,2026-02-03 12:18:00,USD,Content Creator Salary,2026-02-03 12:18:00,PAID,Content Creator Salary
194,55,INFRASTRUCTURE,2026-02-03 13:14:00,USD,AWS Services,2026-02-03 13:14:00,PAID,AWS Services
113,40,TOOLS,2026-02-03 13:15:00,USD,LMS Plugin,2026-02-03 13:15:00,PAID,LMS Plugin
348,85,INFRASTRUCTURE,2026-02-03 14:20:00,USD,Cloud Hosting,2026-02-03 14:20:00,PAID,Cloud Hosting
379,126,MARKETING,2026-02-03 15:55:00,USD,Influencer Campaign,2026-02-03 15:55:00,PAID,Influencer Campaign
435,69,INFRASTRUCTURE,2026-02-03 17:57:00,USD,Database Hosting,2026-02-03 17:57:00,PAID,Database Hosting
173,499,SALARY,2026-02-04 08:36:00,USD,Developer Salary,2026-02-04 08:36:00,PAID,Developer Salary
23,82,TOOLS,2026-02-04 10:38:00,USD,Analytics Tool,2026-02-04 10:38:00,PAID,Analytics Tool
105,52,TOOLS,2026-02-04 17:30:00,USD,Video Hosting,2026-02-04 17:30:00,PAID,Video Hosting
176,86,MARKETING,2026-02-04 17:54:00,USD,SEO Tools,2026-02-04 17:54:00,PAID,SEO Tools
201,125,MARKETING,2026-02-05 10:23:00,USD,Facebook Ads,2026-02-05 10:23:00,PAID,Facebook Ads
274,32,TOOLS,2026-02-06 09:06:00,USD,Video Hosting,2026-02-06 09:06:00,PAID,Video Hosting
466,46,TOOLS,2026-02-06 17:00:00,USD,Analytics Tool,2026-02-06 17:00:00,PAID,Analytics Tool
244,542,SALARY,2026-02-10 14:43:00,USD,Content Creator Salary,2026-02-10 14:43:00,PAID,Content Creator Salary
384,39,TOOLS,2026-02-10 14:56:00,USD,LMS Plugin,2026-02-10 14:56:00,PAID,LMS Plugin
366,50,TOOLS,2026-02-11 10:05:00,USD,Analytics Tool,2026-02-11 10:05:00,PAID,Analytics Tool
180,47,TOOLS,2026-02-11 15:21:00,USD,LMS Plugin,2026-02-11 15:21:00,PAID,LMS Plugin
417,75,INFRASTRUCTURE,2026-02-11 15:58:00,USD,Cloud Hosting,2026-02-11 15:58:00,PAID,Cloud Hosting
301,395,SALARY,2026-02-12 11:07:00,USD,QA Salary,2026-02-12 11:07:00,PAID,QA Salary
424,45,TOOLS,2026-02-12 12:13:00,USD,Analytics Tool,2026-02-12 12:13:00,PAID,Analytics Tool
227,38,SUPPORT,2026-02-13 08:51:00,USD,Help Desk Software,2026-02-13 08:51:00,PAID,Help Desk Software
459,54,SUPPORT,2026-02-14 17:25:00,USD,Customer Support Tool,2026-02-14 17:25:00,PAID,Customer Support Tool
370,93,MARKETING,2026-02-14 17:58:00,USD,Facebook Ads,2026-02-14 17:58:00,PAID,Facebook Ads
20,189,MARKETING,2026-02-15 08:18:00,USD,Influencer Campaign,2026-02-15 08:18:00,PENDING,Influencer Campaign
28,86,SUPPORT,2026-02-15 12:50:00,USD,CRM License,2026-02-15 12:50:00,PAID,CRM License
125,136,MARKETING,2026-02-15 13:06:00,USD,Facebook Ads,2026-02-15 13:06:00,PAID,Facebook Ads
22,143,INFRASTRUCTURE,2026-02-15 13:38:00,USD,Database Hosting,2026-02-15 13:38:00,PAID,Database Hosting
306,138,MARKETING,2026-02-16 13:35:00,USD,Influencer Campaign,2026-02-16 13:35:00,PAID,Influencer Campaign
347,46,TOOLS,2026-02-16 17:12:00,USD,Analytics Tool,2026-02-16 17:12:00,PAID,Analytics Tool
337,62,SUPPORT,2026-02-16 17:52:00,USD,Customer Support Tool,2026-02-16 17:52:00,PAID,Customer Support Tool
26,153,CONTENT,2026-02-17 08:27:00,USD,Stock Assets,2026-02-17 08:27:00,PAID,Stock Assets
24,76,TOOLS,2026-02-17 11:12:00,USD,LMS Plugin,2026-02-17 11:12:00,PAID,LMS Plugin
376,103,CONTENT,2026-02-17 15:45:00,USD,Video Production,2026-02-17 15:45:00,PAID,Video Production
153,447,SALARY,2026-02-17 16:10:00,USD,QA Salary,2026-02-17 16:10:00,PAID,QA Salary
162,60,SUPPORT,2026-02-18 14:41:00,USD,Help Desk Software,2026-02-18 14:41:00,PAID,Help Desk Software
399,79,INFRASTRUCTURE,2026-02-18 17:40:00,USD,AWS Services,2026-02-18 17:40:00,PAID,AWS Services
78,137,MARKETING,2026-02-19 15:50:00,USD,Facebook Ads,2026-02-19 15:50:00,PAID,Facebook Ads
309,105,MARKETING,2026-02-19 16:22:00,USD,Email Marketing,2026-02-19 16:22:00,PAID,Email Marketing
258,98,MARKETING,2026-02-19 17:43:00,USD,Facebook Ads,2026-02-19 17:43:00,PAID,Facebook Ads
212,586,SALARY,2026-02-20 10:30:00,USD,Developer Salary,2026-02-20 10:30:00,PAID,Developer Salary
501,44,TOOLS,2026-02-20 10:41:00,USD,Analytics Tool,2026-02-20 10:41:00,PAID,Analytics Tool
94,119,MARKETING,2026-02-20 12:53:00,USD,Google Ads,2026-02-20 12:53:00,PAID,Google Ads
106,31,TOOLS,2026-02-20 13:39:00,USD,Analytics Tool,2026-02-20 13:39:00,PAID,Analytics Tool
79,42,TOOLS,2026-02-20 14:25:00,USD,Video Hosting,2026-02-20 14:25:00,PAID,Video Hosting
237,111,MARKETING,2026-02-20 15:59:00,USD,Facebook Ads,2026-02-20 15:59:00,PAID,Facebook Ads
146,53,SUPPORT,2026-02-21 13:48:00,USD,Customer Support Tool,2026-02-21 13:48:00,PAID,Customer Support Tool
269,82,INFRASTRUCTURE,2026-02-21 14:40:00,USD,Database Hosting,2026-02-21 14:40:00,PAID,Database Hosting
483,46,TOOLS,2026-02-22 10:13:00,USD,LMS Plugin,2026-02-22 10:13:00,PAID,LMS Plugin
352,87,INFRASTRUCTURE,2026-02-22 10:48:00,USD,Cloud Hosting,2026-02-22 10:48:00,PAID,Cloud Hosting
179,44,SUPPORT,2026-02-22 11:06:00,USD,Help Desk Software,2026-02-22 11:06:00,PAID,Help Desk Software
455,90,INFRASTRUCTURE,2026-02-22 12:36:00,USD,CDN Costs,2026-02-22 12:36:00,PAID,CDN Costs
375,525,SALARY,2026-02-22 13:05:00,USD,QA Salary,2026-02-22 13:05:00,PAID,QA Salary
411,59,INFRASTRUCTURE,2026-02-23 11:00:00,USD,Database Hosting,2026-02-23 11:00:00,PAID,Database Hosting
82,58,INFRASTRUCTURE,2026-02-23 12:08:00,USD,CDN Costs,2026-02-23 12:08:00,PAID,CDN Costs
96,31,TOOLS,2026-02-23 13:15:00,USD,SaaS Subscription,2026-02-23 13:15:00,PAID,SaaS Subscription
273,132,MARKETING,2026-02-24 12:47:00,USD,Facebook Ads,2026-02-24 12:47:00,PAID,Facebook Ads
463,33,TOOLS,2026-02-24 14:08:00,USD,Video Hosting,2026-02-24 14:08:00,PAID,Video Hosting
428,532,SALARY,2026-02-24 15:24:00,USD,Developer Salary,2026-02-24 15:24:00,PAID,Developer Salary
171,57,TOOLS,2026-02-24 16:18:00,USD,Analytics Tool,2026-02-24 16:18:00,PAID,Analytics Tool
86,376,SALARY,2026-02-24 17:32:00,USD,Content Creator Salary,2026-02-24 17:32:00,PAID,Content Creator Salary
141,112,CONTENT,2026-02-25 08:22:00,USD,Freelance Writer,2026-02-25 08:22:00,PAID,Freelance Writer
373,95,MARKETING,2026-02-25 09:08:00,USD,SEO Tools,2026-02-25 09:08:00,PAID,SEO Tools
387,88,CONTENT,2026-02-25 16:08:00,USD,Course Materials,2026-02-25 16:08:00,PAID,Course Materials
85,37,TOOLS,2026-02-26 08:14:00,USD,Analytics Tool,2026-02-26 08:14:00,PAID,Analytics Tool
260,59,SUPPORT,2026-02-26 10:30:00,USD,Help Desk Software,2026-02-26 10:30:00,PAID,Help Desk Software
208,52,TOOLS,2026-02-27 17:09:00,USD,Analytics Tool,2026-02-27 17:09:00,PAID,Analytics Tool
457,95,INFRASTRUCTURE,2026-02-28 08:23:00,USD,Cloud Hosting,2026-02-28 08:23:00,PAID,Cloud Hosting
316,467,SALARY,2026-02-28 11:06:00,USD,Developer Salary,2026-02-28 11:06:00,PAID,Developer Salary
441,86,CONTENT,2026-02-28 12:58:00,USD,Video Production,2026-02-28 12:58:00,PAID,Video Production
231,41,SUPPORT,2026-02-28 16:18:00,USD,Customer Support Tool,2026-02-28 16:18:00,PAID,Customer Support Tool
265,55,TOOLS,2026-03-01 09:22:00,USD,Analytics Tool,2026-03-01 09:22:00,PAID,Analytics Tool
32,133,INFRASTRUCTURE,2026-03-01 09:42:00,USD,Database Hosting,2026-03-01 09:42:00,PENDING,Database Hosting
332,95,INFRASTRUCTURE,2026-03-01 11:13:00,USD,Cloud Hosting,2026-03-01 11:13:00,PAID,Cloud Hosting
302,93,MARKETING,2026-03-01 12:37:00,USD,Google Ads,2026-03-01 12:37:00,PAID,Google Ads
500,76,INFRASTRUCTURE,2026-03-02 12:11:00,USD,Database Hosting,2026-03-02 12:11:00,PAID,Database Hosting
308,40,TOOLS,2026-03-02 15:35:00,USD,Video Hosting,2026-03-02 15:35:00,PAID,Video Hosting
29,844,SALARY,2026-03-03 09:41:00,USD,Designer Salary,2026-03-03 09:41:00,PAID,Designer Salary
242,51,TOOLS,2026-03-03 11:43:00,USD,LMS Plugin,2026-03-03 11:43:00,PAID,LMS Plugin
38,92,SUPPORT,2026-03-03 13:58:00,USD,Help Desk Software,2026-03-03 13:58:00,PAID,Help Desk Software
36,180,CONTENT,2026-03-04 10:10:00,USD,Video Production,2026-03-04 10:10:00,PAID,Video Production
239,99,CONTENT,2026-03-04 12:56:00,USD,Course Materials,2026-03-04 12:56:00,PAID,Course Materials
30,208,MARKETING,2026-03-04 13:11:00,USD,Influencer Campaign,2026-03-04 13:11:00,PAID,Influencer Campaign
34,75,TOOLS,2026-03-04 17:56:00,USD,LMS Plugin,2026-03-04 17:56:00,PAID,LMS Plugin
478,117,CONTENT,2026-03-05 12:17:00,USD,Freelance Writer,2026-03-05 12:17:00,PAID,Freelance Writer
292,36,SUPPORT,2026-03-05 15:46:00,USD,Help Desk Software,2026-03-05 15:46:00,PAID,Help Desk Software
246,59,SUPPORT,2026-03-06 11:31:00,USD,Help Desk Software,2026-03-06 11:31:00,PAID,Help Desk Software
499,354,SALARY,2026-03-06 12:49:00,USD,QA Salary,2026-03-06 12:49:00,PAID,QA Salary
238,47,TOOLS,2026-03-06 16:06:00,USD,LMS Plugin,2026-03-06 16:06:00,PAID,LMS Plugin
174,48,SUPPORT,2026-03-07 13:13:00,USD,Customer Support Tool,2026-03-07 13:13:00,PAID,Customer Support Tool
355,42,SUPPORT,2026-03-07 16:13:00,USD,Customer Support Tool,2026-03-07 16:13:00,PAID,Customer Support Tool
155,126,CONTENT,2026-03-07 16:30:00,USD,Freelance Writer,2026-03-07 16:30:00,PAID,Freelance Writer
358,37,SUPPORT,2026-03-07 17:17:00,USD,Customer Support Tool,2026-03-07 17:17:00,PAID,Customer Support Tool
233,38,SUPPORT,2026-03-08 08:10:00,USD,CRM License,2026-03-08 08:10:00,PAID,CRM License
277,130,MARKETING,2026-03-08 12:28:00,USD,Google Ads,2026-03-08 12:28:00,PAID,Google Ads
262,90,CONTENT,2026-03-09 17:03:00,USD,Video Production,2026-03-09 17:03:00,PAID,Video Production
474,152,MARKETING,2026-03-10 08:44:00,USD,Influencer Campaign,2026-03-10 08:44:00,PAID,Influencer Campaign
283,50,TOOLS,2026-03-10 16:00:00,USD,Video Hosting,2026-03-10 16:00:00,PAID,Video Hosting
489,59,INFRASTRUCTURE,2026-03-11 12:51:00,USD,Database Hosting,2026-03-11 12:51:00,PAID,Database Hosting
328,89,CONTENT,2026-03-11 13:54:00,USD,Stock Assets,2026-03-11 13:54:00,PAID,Stock Assets
267,60,SUPPORT,2026-03-11 16:31:00,USD,CRM License,2026-03-11 16:31:00,PAID,CRM License
404,43,TOOLS,2026-03-12 09:48:00,USD,SaaS Subscription,2026-03-12 09:48:00,PAID,SaaS Subscription
122,52,SUPPORT,2026-03-12 12:35:00,USD,Customer Support Tool,2026-03-12 12:35:00,PAID,Customer Support Tool
100,59,SUPPORT,2026-03-12 13:27:00,USD,Help Desk Software,2026-03-12 13:27:00,PAID,Help Desk Software
339,55,TOOLS,2026-03-12 14:59:00,USD,Analytics Tool,2026-03-12 14:59:00,PAID,Analytics Tool
416,66,SUPPORT,2026-03-13 17:39:00,USD,Help Desk Software,2026-03-13 17:39:00,PAID,Help Desk Software
91,52,SUPPORT,2026-03-14 09:42:00,USD,Customer Support Tool,2026-03-14 09:42:00,PAID,Customer Support Tool
282,55,INFRASTRUCTURE,2026-03-14 10:19:00,USD,AWS Services,2026-03-14 10:19:00,PAID,AWS Services
294,38,SUPPORT,2026-03-15 08:21:00,USD,Help Desk Software,2026-03-15 08:21:00,PAID,Help Desk Software
99,387,SALARY,2026-03-15 09:52:00,USD,Developer Salary,2026-03-15 09:52:00,PAID,Developer Salary
132,128,MARKETING,2026-03-15 10:26:00,USD,SEO Tools,2026-03-15 10:26:00,PAID,SEO Tools
35,84,TOOLS,2026-03-15 16:36:00,USD,Analytics Tool,2026-03-15 16:36:00,PAID,Analytics Tool
405,147,MARKETING,2026-03-16 09:44:00,USD,Influencer Campaign,2026-03-16 09:44:00,PAID,Influencer Campaign
363,41,TOOLS,2026-03-16 10:01:00,USD,LMS Plugin,2026-03-16 10:01:00,PAID,LMS Plugin
477,358,SALARY,2026-03-16 10:32:00,USD,Content Creator Salary,2026-03-16 10:32:00,PAID,Content Creator Salary
281,72,CONTENT,2026-03-16 11:51:00,USD,Course Materials,2026-03-16 11:51:00,PAID,Course Materials
33,144,INFRASTRUCTURE,2026-03-16 16:03:00,USD,Database Hosting,2026-03-16 16:03:00,PENDING,Database Hosting
361,78,CONTENT,2026-03-16 16:05:00,USD,Stock Assets,2026-03-16 16:05:00,PAID,Stock Assets
160,620,SALARY,2026-03-17 09:10:00,USD,Developer Salary,2026-03-17 09:10:00,PAID,Developer Salary
342,37,SUPPORT,2026-03-17 11:09:00,USD,Customer Support Tool,2026-03-17 11:09:00,PAID,Customer Support Tool
31,202,MARKETING,2026-03-17 11:53:00,USD,Facebook Ads,2026-03-17 11:53:00,PAID,Facebook Ads
415,67,CONTENT,2026-03-17 13:49:00,USD,Course Materials,2026-03-17 13:49:00,PAID,Course Materials
409,121,CONTENT,2026-03-17 17:22:00,USD,Stock Assets,2026-03-17 17:22:00,PAID,Stock Assets
37,166,CONTENT,2026-03-18 09:43:00,USD,Video Production,2026-03-18 09:43:00,PAID,Video Production
445,45,SUPPORT,2026-03-18 09:50:00,USD,CRM License,2026-03-18 09:50:00,PAID,CRM License
149,82,INFRASTRUCTURE,2026-03-18 10:10:00,USD,CDN Costs,2026-03-18 10:10:00,PAID,CDN Costs
450,426,SALARY,2026-03-18 15:11:00,USD,QA Salary,2026-03-18 15:11:00,PAID,QA Salary
39,94,SUPPORT,2026-03-18 16:20:00,USD,Customer Support Tool,2026-03-18 16:20:00,PAID,Customer Support Tool
356,59,TOOLS,2026-03-18 17:46:00,USD,SaaS Subscription,2026-03-18 17:46:00,PAID,SaaS Subscription
198,43,SUPPORT,2026-03-19 09:33:00,USD,Help Desk Software,2026-03-19 09:33:00,PAID,Help Desk Software
393,63,SUPPORT,2026-03-19 10:10:00,USD,Help Desk Software,2026-03-19 10:10:00,PAID,Help Desk Software
224,61,INFRASTRUCTURE,2026-03-19 14:47:00,USD,Cloud Hosting,2026-03-19 14:47:00,PAID,Cloud Hosting
216,49,SUPPORT,2026-03-19 17:06:00,USD,CRM License,2026-03-19 17:06:00,PAID,CRM License
350,45,SUPPORT,2026-03-20 08:49:00,USD,CRM License,2026-03-20 08:49:00,PAID,CRM License
444,73,CONTENT,2026-03-20 10:32:00,USD,Freelance Writer,2026-03-20 10:32:00,PAID,Freelance Writer
472,564,SALARY,2026-03-20 13:34:00,USD,QA Salary,2026-03-20 13:34:00,PAID,QA Salary
395,93,MARKETING,2026-03-21 09:57:00,USD,Google Ads,2026-03-21 09:57:00,PAID,Google Ads
364,68,INFRASTRUCTURE,2026-03-21 11:32:00,USD,Cloud Hosting,2026-03-21 11:32:00,PAID,Cloud Hosting
140,57,INFRASTRUCTURE,2026-03-22 10:53:00,USD,CDN Costs,2026-03-22 10:53:00,PAID,CDN Costs
172,53,SUPPORT,2026-03-22 13:00:00,USD,Customer Support Tool,2026-03-22 13:00:00,PAID,Customer Support Tool
95,33,TOOLS,2026-03-23 12:10:00,USD,Video Hosting,2026-03-23 12:10:00,PAID,Video Hosting
186,38,SUPPORT,2026-03-24 09:46:00,USD,Help Desk Software,2026-03-24 09:46:00,PAID,Help Desk Software
313,449,SALARY,2026-03-24 16:52:00,USD,QA Salary,2026-03-24 16:52:00,PAID,QA Salary
427,96,INFRASTRUCTURE,2026-03-25 10:49:00,USD,AWS Services,2026-03-25 10:49:00,PAID,AWS Services
81,107,CONTENT,2026-03-25 11:01:00,USD,Video Production,2026-03-25 11:01:00,PAID,Video Production
321,55,SUPPORT,2026-03-26 08:52:00,USD,Customer Support Tool,2026-03-26 08:52:00,PAID,Customer Support Tool
344,41,TOOLS,2026-03-26 10:08:00,USD,Video Hosting,2026-03-26 10:08:00,PAID,Video Hosting
226,107,CONTENT,2026-03-26 17:44:00,USD,Freelance Writer,2026-03-26 17:44:00,PAID,Freelance Writer
296,58,TOOLS,2026-03-27 08:07:00,USD,Analytics Tool,2026-03-27 08:07:00,PAID,Analytics Tool
